eventTime activityID
2010-07-29_13:30:00 2010-07-29T13:30:00-RBE-001 
2010-08-26_12:00:00 2010-08-26T12:00:00-RBE-001 
2010-08-28_13:15:00 2010-08-28T13:15:00-RBE-001 
2010-10-25_12:45:00 2010-10-25T12:45:00-RBE-001 
2011-01-10_19:00:00 2011-01-10T19:00:00-RBE-001 
2011-02-06_15:00:00 2011-02-06T15:20:00-RBE-001 
2011-03-03_17:05:00 2011-03-03T17:05:00-RBE-001 
2011-03-05_17:30:00 2011-03-05T17:30:00-RBE-001 
2011-04-03_14:30:00 2011-04-03T14:30:00-RBE-001 
2011-05-03_01:15:00 2011-05-03T01:15:00-RBE-001 
2011-05-04_15:25:00 2011-05-04T15:25:00-RBE-001 
2011-05-29_18:00:00 2011-05-29T18:00:00-RBE-001 
2011-06-25_13:25:00 2011-06-25T13:25:00-RBE-001 
2011-07-23_14:10:00 2011-07-23T14:10:00-RBE-001 
2012-03-10_16:30:00 2012-03-10T16:30:00-RBE-001 
2012-03-11_12:35:00 2012-03-11T12:35:00-RBE-001 
2012-03-14_12:30:00 2012-03-14T12:30:00-RBE-001 
2012-03-16_18:10:00 2012-03-16T18:10:00-RBE-001 
2012-03-18_14:55:00 2012-03-18T14:55:00-RBE-001 
2012-03-20_14:05:00 2012-03-20T14:05:00-RBE-001 
2012-05-12_15:20:00 2012-05-12T15:20:00-RBE-001 
2012-06-07_15:15:00 2012-06-07T15:15:00-RBE-001 
2012-06-20_13:20:00 2012-06-20T13:20:00-RBE-001 
2012-06-24_15:40:00 2012-06-24T15:40:00-RBE-001 
2012-07-03_14:15:00 2012-07-03T14:15:00-RBE-001 
2012-10-11_14:45:00 2012-10-11T14:45:00-RBE-001 
2013-05-26_17:45:00 2013-05-26T17:45:00-RBE-001 
2013-05-28_13:00:00 2013-05-28T13:00:00-RBE-001 
2013-05-31_10:50:00 2013-05-31T10:50:00-RBE-001 
2013-06-03_01:00:00 2013-06-03T01:00:00-RBE-001 
2013-06-24_15:40:00 2013-06-24T15:40:00-RBE-001 
2013-07-12_11:00:00 2013-07-12T11:00:00-RBE-001 
2014-10-22_13:20:00 2014-10-22T13:20:00-RBE-001 
2014-12-08_14:05:00 2014-12-08T14:05:00-RBE-001 
2015-02-04_15:25:00 2015-02-04T15:25:00-RBE-001 
2015-03-19_10:40:00 2015-03-19T10:40:00-RBE-001 
2015-05-15_13:35:00 2015-05-15T13:35:00-RBE-001 
2015-06-24_13:10:00 2015-06-24T13:10:00-RBE-001 
2015-08-18_10:00:00 2015-08-18T10:00:00-RBE-001 
2015-09-12_14:40:00 2015-09-12T14:40:00-RBE-001 
2015-10-08_13:40:00 2015-10-08T13:40:00-RBE-001 
2015-11-05_14:45:00 2015-11-05T14:45:00-RBE-001 
2015-11-09_13:15:00 2015-11-09T13:15:00-RBE-001 
2015-11-10_12:15:00 2015-11-10T12:15:00-RBE-001 
2015-11-11_10:10:00 2015-11-11T10:10:00-RBE-001 
2015-12-08_13:45:00 2015-12-08T13:45:00-RBE-001 
2015-12-14_14:05:00 2015-12-14T14:05:00-RBE-001 
2015-12-27_16:20:00 2015-12-27T16:20:00-RBE-001 
2016-01-02_12:25:00 2016-01-02T12:25:00-RBE-001 
2016-01-24_15:05:00 2016-01-24T15:05:00-RBE-001 
2016-02-18_16:15:00 2016-02-18T16:15:00-RBE-001 
2016-02-21_13:50:00 2016-02-21T13:50:00-RBE-001 
2016-05-09_15:50:00 2016-05-09T15:50:00-RBE-001 
